#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 1.982909e+00  7.907577e-01 -1.192151e+00  1.904050e-01
 1.311862e+00  7.757533e-01 -5.361091e-01  2.202942e-01
 5.008413e-01  4.516040e-01 -4.923731e-02  2.254656e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.254656e-01
 7.201192e-02  4.666478e-03 -6.734544e-02  2.254656e-01
 6.125667e-01  2.968149e-01 -3.157518e-01  2.254656e-01
 1.341425e+00  2.341830e-01 -1.107242e+00  2.193354e-01
 1.829615e+00 -7.558991e-02 -1.905205e+00  1.977974e-01
 2.075229e+00 -1.548932e-01 -2.230122e+00  1.860640e-01
 2.246819e+00  7.582909e-02 -2.170990e+00  1.783411e-01
 2.361310e+00  3.968819e-01 -1.964428e+00  1.734797e-01
 2.314953e+00  6.155417e-01 -1.699412e+00  1.754185e-01
 2.050665e+00  6.774823e-01 -1.373183e+00  1.872079e-01
 1.495590e+00  5.537460e-01 -9.418435e-01  2.134199e-01
 6.620377e-01  1.796906e-01 -4.823472e-01  2.254656e-01
 5.217741e-03 -2.044875e-01 -2.097052e-01  2.254656e-01
 1.497199e-01 -1.386480e-01 -2.883679e-01  2.254656e-01
 8.439427e-01  1.439920e-01 -6.999507e-01  2.254656e-01
 1.477901e+00  5.937060e-02 -1.418530e+00  2.141639e-01
 1.836285e+00 -2.141527e-01 -2.050437e+00  1.974732e-01
 2.043462e+00 -2.357419e-01 -2.279204e+00  1.875450e-01
 2.207494e+00  3.653006e-02 -2.170964e+00  1.800666e-01
 2.349869e+00  3.627643e-01 -1.987105e+00  1.739544e-01
 2.319770e+00  6.200204e-01 -1.699750e+00  1.752152e-01
