#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 1.758717e+00  1.527205e+00 -2.315124e-01  2.178764e-01
 2.643339e+00  2.152837e+00 -4.905016e-01  1.759982e-01
 2.909667e+00  2.575332e+00 -3.343343e-01  1.662593e-01
 2.960348e+00  2.681928e+00 -2.784198e-01  1.645498e-01
 2.927587e+00  2.729912e+00 -1.976746e-01  1.656499e-01
 2.875554e+00  2.755890e+00 -1.196639e-01  1.674348e-01
 2.685293e+00  2.634310e+00 -5.098336e-02  1.743759e-01
 2.081119e+00  2.117313e+00  3.619442e-02  2.011497e-01
 1.057507e+00  1.295000e+00  2.374934e-01  2.439028e-01
 2.042141e-01  5.597052e-01  3.554911e-01  2.441042e-01
 2.087919e-02  3.889694e-01  3.680903e-01  2.441042e-01
 6.122781e-01  9.182875e-01  3.060094e-01  2.441042e-01
 1.720603e+00  1.738066e+00  1.746368e-02  2.198703e-01
 2.574574e+00  2.481475e+00 -9.309995e-02  1.787322e-01
 2.898985e+00  2.986473e+00  8.748856e-02  1.666253e-01
 2.958953e+00  3.158236e+00  1.992824e-01  1.645963e-01
 2.918949e+00  3.192074e+00  2.731250e-01  1.659430e-01
 2.850289e+00  3.016193e+00  1.659048e-01  1.683186e-01
 2.606833e+00  2.533984e+00 -7.284988e-02  1.774379e-01
 2.010017e+00  1.595945e+00 -4.140722e-01  2.047529e-01
 1.133431e+00  5.969600e-01 -5.364712e-01  2.430296e-01
 2.916353e-01 -3.687867e-02 -3.285140e-01  2.441042e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.441042e-01
 5.368411e-01  6.600618e-01  1.232207e-01  2.441042e-01
