#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 1.081157e+00  1.034796e+00 -4.636086e-02  2.134019e-01
 1.011242e-01 -3.073681e-02 -1.318610e-01  2.137524e-01
 1.885039e-04 -1.564095e-03 -1.752598e-03  2.137524e-01
 7.574311e-01  8.677343e-01  1.103032e-01  2.137524e-01
 1.770055e+00  1.895066e+00  1.250112e-01  1.902647e-01
 2.247264e+00  2.359817e+00  1.125530e-01  1.690577e-01
 1.775893e+00  1.902150e+00  1.262566e-01  1.899961e-01
 7.686505e-01  8.756699e-01  1.070194e-01  2.137524e-01
 1.819903e-03  1.138888e-03 -6.810150e-04  2.137524e-01
 1.021146e-01 -3.081512e-02 -1.329297e-01  2.137524e-01
 1.075660e+00  1.026902e+00 -4.875821e-02  2.134476e-01
 1.904862e+00  2.038869e+00  1.340075e-01  1.840629e-01
 1.075864e+00  1.027194e+00 -4.866950e-02  2.134460e-01
 1.021245e-01 -3.127087e-02 -1.333954e-01  2.137524e-01
 1.434738e-03  1.654962e-03  2.202245e-04  2.137524e-01
 7.686049e-01  8.754486e-01  1.068437e-01  2.137524e-01
 1.775929e+00  1.902101e+00  1.261710e-01  1.899944e-01
 2.247218e+00  2.359920e+00  1.127014e-01  1.690596e-01
 1.770127e+00  1.895225e+00  1.250978e-01  1.902613e-01
 7.576089e-01  8.674489e-01  1.098400e-01  2.137524e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.137524e-01
 1.004672e-01 -3.064048e-02 -1.311076e-01  2.137524e-01
 1.081164e+00  1.034806e+00 -4.635863e-02  2.134018e-01
 1.904706e+00  2.029685e+00  1.249793e-01  1.840701e-01
