#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 5.210998e+00  4.614273e+00 -5.967251e-01  1.256423e-01
 5.032700e+00  4.564652e+00 -4.680488e-01  1.282354e-01
 4.484340e+00  4.213299e+00 -2.710408e-01  1.372875e-01
 3.447220e+00  3.424556e+00 -2.266366e-02  1.607618e-01
 2.084374e+00  2.284836e+00  2.004624e-01  2.152171e-01
 7.998387e-01  1.017033e+00  2.171942e-01  2.613876e-01
 1.940469e-02  1.424793e-01  1.230746e-01  2.613876e-01
 2.921057e-05 -2.191185e-02 -2.194106e-02  2.613876e-01
 7.285977e-01  6.764416e-01 -5.215609e-02  2.613876e-01
 1.889364e+00  1.892691e+00  3.327008e-03  2.259503e-01
 2.942955e+00  3.007968e+00  6.501233e-02  1.768235e-01
 3.366410e+00  3.467184e+00  1.007738e-01  1.630800e-01
 2.942955e+00  3.008039e+00  6.508352e-02  1.768235e-01
 1.889362e+00  1.891940e+00  2.578524e-03  2.259504e-01
 7.285884e-01  7.056059e-01 -2.298257e-02  2.613876e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.613876e-01
 1.940469e-02  1.424815e-01  1.230768e-01  2.613876e-01
 7.998387e-01  1.017053e+00  2.172142e-01  2.613876e-01
 2.084374e+00  2.284839e+00  2.004651e-01  2.152171e-01
 3.447223e+00  3.424414e+00 -2.280948e-02  1.607617e-01
 4.484344e+00  4.212663e+00 -2.716808e-01  1.372874e-01
 5.032698e+00  4.564538e+00 -4.681601e-01  1.282354e-01
 5.210998e+00  4.613744e+00 -5.972539e-01  1.256423e-01
 5.236732e+00  4.595916e+00 -6.408161e-01  1.252804e-01
