#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 5.210998e+00  4.578959e+00 -6.320388e-01  1.256423e-01
 5.032700e+00  4.501486e+00 -5.312144e-01  1.282354e-01
 4.484340e+00  4.161076e+00 -3.232642e-01  1.372875e-01
 3.447220e+00  3.416958e+00 -3.026153e-02  1.607618e-01
 2.084374e+00  2.307642e+00  2.232678e-01  2.152171e-01
 7.998387e-01  1.039514e+00  2.396750e-01  2.613876e-01
 1.940469e-02  1.523642e-01  1.329595e-01  2.613876e-01
 2.921057e-05 -2.174240e-02 -2.177161e-02  2.613876e-01
 7.285977e-01  6.741500e-01 -5.444769e-02  2.613876e-01
 1.889364e+00  1.902647e+00  1.328276e-02  2.259503e-01
 2.942955e+00  3.045356e+00  1.024010e-01  1.768235e-01
 3.366410e+00  3.520858e+00  1.544480e-01  1.630800e-01
 2.942955e+00  3.045427e+00  1.024713e-01  1.768235e-01
 1.889362e+00  1.901890e+00  1.252779e-02  2.259504e-01
 7.285884e-01  7.033245e-01 -2.526393e-02  2.613876e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.613876e-01
 1.940469e-02  1.523664e-01  1.329618e-01  2.613876e-01
 7.998387e-01  1.039533e+00  2.396948e-01  2.613876e-01
 2.084374e+00  2.307644e+00  2.232705e-01  2.152171e-01
 3.447223e+00  3.416813e+00 -3.041013e-02  1.607617e-01
 4.484344e+00  4.160439e+00 -3.239051e-01  1.372874e-01
 5.032698e+00  4.501376e+00 -5.313220e-01  1.282354e-01
 5.210998e+00  4.578555e+00 -6.324424e-01  1.256423e-01
 5.236732e+00  4.579859e+00 -6.568735e-01  1.252804e-01
