#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 5.210998e+00  4.577912e+00 -6.330863e-01  1.256423e-01
 5.032700e+00  4.501514e+00 -5.311867e-01  1.282354e-01
 4.484340e+00  4.161756e+00 -3.225841e-01  1.372875e-01
 3.447220e+00  3.417125e+00 -3.009520e-02  1.607618e-01
 2.084374e+00  2.306598e+00  2.222244e-01  2.152171e-01
 7.998387e-01  1.037855e+00  2.380166e-01  2.613876e-01
 1.940469e-02  1.512554e-01  1.318507e-01  2.613876e-01
 2.921057e-05 -2.174271e-02 -2.177192e-02  2.613876e-01
 7.285977e-01  6.747729e-01 -5.382484e-02  2.613876e-01
 1.889364e+00  1.902822e+00  1.345798e-02  2.259503e-01
 2.942955e+00  3.044435e+00  1.014802e-01  1.768235e-01
 3.366410e+00  3.519352e+00  1.529421e-01  1.630800e-01
 2.942955e+00  3.044506e+00  1.015505e-01  1.768235e-01
 1.889362e+00  1.902065e+00  1.270299e-02  2.259504e-01
 7.285884e-01  7.039471e-01 -2.464134e-02  2.613876e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.613876e-01
 1.940469e-02  1.512576e-01  1.318529e-01  2.613876e-01
 7.998387e-01  1.037875e+00  2.380363e-01  2.613876e-01
 2.084374e+00  2.306601e+00  2.222271e-01  2.152171e-01
 3.447223e+00  3.416979e+00 -3.024380e-02  1.607617e-01
 4.484344e+00  4.161119e+00 -3.232249e-01  1.372874e-01
 5.032698e+00  4.501404e+00 -5.312944e-01  1.282354e-01
 5.210998e+00  4.577508e+00 -6.334901e-01  1.256423e-01
 5.236732e+00  4.578313e+00 -6.584195e-01  1.252804e-01
